Date	Open	High	Low	Close	Volume	Market Cap
6/24/2017	0.007707	0.007933	0.006804	0.00737	83,893	814,024
6/23/2017	0.00813	0.009011	0.007281	0.007708	83,386	858,692
6/22/2017	0.007944	0.008796	0.007385	0.007939	93,921	839,063
6/21/2017	0.007789	0.008877	0.007305	0.007666	63,046	822,661
6/20/2017	0.007658	0.008781	0.007191	0.007803	66,885	808,821
6/19/2017	0.00904	0.009224	0.007013	0.008725	64,100	954,750
6/18/2017	0.008718	0.00925	0.007805	0.009013	59,139	920,806
6/17/2017	0.009968	0.010043	0.007831	0.008743	59,114	1,052,840
6/16/2017	0.009492	0.010542	0.009175	0.00997	67,908	1,002,500
6/15/2017	0.009847	0.010859	0.009212	0.009492	55,019	1,039,990
6/14/2017	0.0098	0.010873	0.009264	0.009852	56,063	1,035,030
6/13/2017	0.01	0.010932	0.009076	0.010494	60,553	1,056,160
6/12/2017	0.009938	0.011347	0.009578	0.010003	59,217	1,049,600
6/11/2017	0.01072	0.011362	0.009694	0.009913	55,315	1,132,200
6/10/2017	0.010128	0.011396	0.009691	0.010729	77,644	1,069,730
6/9/2017	0.01045	0.012012	0.009683	0.009918	54,231	1,103,730
6/8/2017	0.01058	0.012175	0.009145	0.01129	60,747	1,117,440
6/7/2017	0.009154	0.012332	0.009154	0.010955	61,586	966,841
6/6/2017	0.011145	0.012241	0.008369	0.009153	53,610	1,177,110
6/5/2017	0.010511	0.012116	0.010237	0.011072	70,209	1,110,170
6/4/2017	0.010986	0.011541	0.010258	0.010553	56,778	1,160,280
6/3/2017	0.01095	0.011688	0.009587	0.010261	45,541	1,156,550
6/2/2017	0.011714	0.011989	0.00884	0.010944	66,653	1,237,220
6/1/2017	0.008055	0.011712	0.007948	0.011712	54,309	850,711
5/31/2017	0.008332	0.00876	0.007636	0.007956	6,486	880,027
5/30/2017	0.008674	0.009084	0.008186	0.008306	6,570	916,183
5/29/2017	0.008462	0.008939	0.008034	0.008665	6,125	893,738
5/28/2017	0.008594	0.009211	0.007941	0.008478	4,284	907,650
5/27/2017	0.007867	0.008797	0.007295	0.008545	12,286	830,877
5/26/2017	0.007968	0.009216	0.007835	0.007845	5,274	841,602
5/25/2017	0.008729	0.0096	0.007637	0.008023	8,172	921,964
5/24/2017	0.009702	0.009733	0.008515	0.008743	9,707	1,024,750
5/23/2017	0.007605	0.009697	0.007551	0.009697	9,274	803,192
5/22/2017	0.007521	0.00827	0.007332	0.007615	12,793	794,338
5/21/2017	0.008439	0.008719	0.007495	0.007495	10,105	891,352
5/20/2017	0.016461	0.016676	0.008041	0.008442	7,051	1,738,620
5/19/2017	0.020115	0.020891	0.015554	0.016461	25,285	2,124,530
5/18/2017	0.01971	0.020625	0.013705	0.020115	58,109	2,081,790
5/17/2017	0.019456	0.019864	0.018413	0.019702	107,209	2,054,940
5/16/2017	0.020431	0.020447	0.01894	0.01947	64,011	2,157,910
5/15/2017	0.011322	0.020482	0.008601	0.020431	117,983	1,195,840
5/14/2017	0.020367	0.02057	0.007185	0.011322	57,599	2,151,090
5/13/2017	0.0195	0.021408	0.01947	0.020368	76,945	2,059,550
5/12/2017	0.020899	0.021119	0.007086	0.019499	117,383	2,207,300
5/11/2017	0.020894	0.020904	0.008175	0.020897	137,787	2,206,780
5/10/2017	0.011854	0.020896	0.00841	0.020896	79,331	1,252,000
5/9/2017	0.014208	0.017065	0.011163	0.011853	11,863	1,500,630
5/8/2017	0.019409	0.01942	0.009671	0.014207	28,772	2,049,930
5/7/2017	0.018726	0.020024	0.018699	0.019362	118,077	1,977,850
5/6/2017	0.017398	0.021888	0.017398	0.018777	129,159	1,837,590
